Battlefield 2042,2021-10-6,"First person shooter","PC,PS5,Xbox Series",DICE,EA,$60,6.0,18,True,90 hours,https://youtu.be/FDuMEodqXi0?si=yfUGxVUizKAeit8M,https://www.google.com/url?sa=i&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FBattlefield_2042&psig=AOvVaw16owI72gXiFnEiOyA8a2nh&ust=1710780096905000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCJiRn-ze-4QDFQAAAAAdAAAAABAD,"Battlefield 2042 marks the return to the iconic all-out warfare of the franchise. Adapt and overcome dynamically-changing battlegrounds with the help of your squad and a cutting-edge arsenal. With support for 128 players, prepare for unprecedented scale on vast environments."
Halo Infinite,2021-12-8,"First person shooter","PS5,Xbox series",343 Industries,Xbox Game Studios,$50,7.0,16,True,28 hours,https://youtu.be/PyMlV5_HRWk?si=nFBrkHUmyMhi5DpE,https://www.google.com/search?q=halo+infinite&tbm=isch&ved=2ahUKEwiVrb3sx_6EAxVBWqQEHQfpCQ4Q2-cCegQIABAA&oq=halo+infinite&gs_lp=EgNpbWciDWhhbG8gaW5maW5pdGUyDRAAGIAEGIoFGEMYsQMyChAAGIAEGIoFGEMyChAAGIAEGIoFGEMyChAAGIAEGIoFGEMyChAAGIAEGIoFGEMyChAAGIAEGIoFGEMyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAESLUxULEEWJYwcAJ4AJABApgBaKABshKqAQQyOS4yuAEDyAEA-AEBigILZ3dzLXdpei1pbWeoAgDCAggQABiABBixA8ICCRAAGIAEGBgYCogGAQ&sclient=img&ei=A5j4ZdWfLsG0kdUPh9KncA&bih=695&biw=1536&rlz=1C1VDKB_enGB1028GB1028,"Halo is set in the twenty-sixth century, with the player assuming the role of the Master Chief, a cybernetically enhanced supersoldier. The Chief is accompanied by Cortana, an artificial intelligence. Players battle aliens as they attempt to uncover the secrets of the eponymous Halo, a ring-shaped artificial world."
EA FC 24,2023-9-22,"Sports","PS5,Xbox series",EA,EA,$70,6.0,3,True,18 hours,https://youtu.be/XhP3Xh4LMA8?si=KdY0i0gd82GDZOdj,https://www.google.com/search?q=ea+fc24&tbm=isch&ved=2ahUKEwjtks2zyP6EAxVod6QEHT_pBQQQ2-cCegQIABAA&oq=ea+fc24&gs_lp=EgNpbWciB2VhIGZjMjQyBxAAGIAEGBgyCRAAGIAEGBgYCjIJEAAYgAQYGBgKMgcQABiABBgYMgkQABiABBgYGAoyCRAAGIAEGBgYCjIJEAAYgAQYGBgKMgcQABiABBgYMgkQABiABBgYGAoyCRAAGIAEGBgYCki1IlDABVj5IHAAeACQAQOYAVugAYsMqgECMjC4AQPIAQD4AQGKAgtnd3Mtd2l6LWltZ6gCAMICDRAAGIAEGIoFGEMYsQPCAgoQABiABBiKBRhDwgIFEAAYgATCAhAQABiABBiKBRhDGLEDGIMBwgIIEAAYgAQYsQPCAg4QABiABBiKBRixAxiDAcICBBAAGAPCAgYQABgIGB6IBgE&sclient=img&ei=mJj4Ze3mN-jukdUPv9KXIA&bih=695&biw=1536&rlz=1C1VDKB_enGB1028GB1028,"EA SPORTS FC is here—the next chapter in The World's Game. Join us in building the future of football on a foundation of innovation and authenticity with more than 19,000 fully licensed players, 700 teams, and 30 leagues."
NBA 2k24,2023-9-8,"Sports","PS5,Xbox series",Visual Concepts,2K Games,$70,5.0,3,True,70 hours,https://youtu.be/OJS1BVniz5c?si=kK7oMjybWKIH4ZZx,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2lfeQ8Kjq7Kb260evwzLlxnFFVEA5n2lOww&usqp=CAU,"Packed with pure, authentic hoops action, NBA 2K24 boasts a variety of single-player and multiplayer game modes for you to immerse yourself in. Realize your NBA dreams in MyCAREER, assemble a dream team of your favorite players in MyTEAM, put on your General Manager cap in MyNBA, and play as today's stars in Play Now."
F1 23,2023-6-16,"Sports","PS5,Xbox series",Codemasters,EA,$70,9.0,3,True,120 hours,https://youtu.be/wHNgoRCWqTg?si=C0jXVfl-1R2PW1QX,https://www.google.com/search?q=f123+video+game&tbm=isch&ved=2ahUKEwj4h4Odyf6EAxWgkycCHbkZB7EQ2-cCegQIABAA&oq=f123+video+game&gs_lp=EgNpbWciD2YxMjMgdmlkZW8gZ2FtZTIHEAAYgAQYGEiNFlDnAljfFHAAeACQAQCYAVegAYYHqgECMTK4AQPIAQD4AQGKAgtnd3Mtd2l6LWltZ8ICBRAAGIAEwgIGEAAYBxgewgIGEAAYBRgewgIEEAAYHogGAQ&sclient=img&ei=dZn4Zbj5PKCnnsEPubOciAs&bih=695&biw=1536&rlz=1C1VDKB_enGB1028GB1028,"The game features a narrative mode with live-action scenes similar to Grid Legends. F1 23 features overhauled driving physics and added the option to set a 35% race distance. Red flags, which last appeared in F1 2014, make an appearance."
